,File,Sources,Actions,Targets,Districts,Provinces
44,20181021_932.txt,,"('مقتل', 'انفجار')","('شخصا', 'شخصا', 'اطفال', 'امرأة')",,
45,20140901_6927.txt,"('طالبان',)","('قتل', 'قتل')","('مدنيين', 'مدنيا')",,"('فرح',)"
46,20140406_2820.txt,"('مسلحين',)","('هجومًا',)",,,
47,20150712_6373.txt,,"('غارة أمريكية', 'قتل', 'قتل', 'ضربة جوية')","('داعش', 'تنظيم الدولة الاسلامية')",,
48,20150802_7134.txt,"('طالبان', 'طالبان', 'طالبان')","('وفاة',)","('الملا عمر', 'الملا عمر')",,
49,20180410_4547.txt,,"('تفجيرا', 'استهدف', 'لتفجير')","('سوقا شعبيا', 'سوق شعبي')",,"('ولاية هرات',)"
50,20180124_1294.txt,,"('هجوم', 'هجوم', 'استهدف')","('منظمة (انقذوا الاطفال) الخيرية', 'منظمة (أنقذوا الاطفال)')","('جلال أباد',)",
51,20181129_2849.txt,,"('الهجمات الإرهابية', 'انفجار', 'مقتل', 'إصابة')","('الجنود الأمريكيين',)","('مدينة غزنة',)",
52,20150517_4619.txt,,"('قتل', 'إصابة', 'انفجار', 'ملغومة')",,"('كابول', 'كابول')",
53,20181002_104.txt,,"('قتيلا', 'هجوم انتحاري', 'استهدف', 'قتل')","('تجمعا انتخابيا', 'شخصا')",,
54,20170507_5472.txt,,"('قتيل', 'غارات جوية')","('طالبان', 'داعش', 'لجماعة ""خوراسان""', 'داعش')",,
55,20180430_5343.txt,,"('مصرع', 'اصابة', 'انفجارين')","('شخصا', 'شخصا')","('كابول',)",
56,20181226_4101.txt,"('قيادة القوات الخاصة الأفغانية',)","('مقتل', 'غارات جوية', 'مقتل')","('مسلحين', 'مسلحين')",,
57,20150613_5379.txt,"('طالبان', 'طالبان')","('مصرع', 'هجوم', 'هاجم')","('شرطيًّا',)",,
58,20170516_5916.txt,"('القوات الأفغانية', 'قوات الأمن الأفغانية')","('سيطرة', 'استعادة')","('مركز مقاطعة', 'مركز ""قلعة الذال""')",,
59,20170518_6070.txt,"('مسلحون',)","('هجوم', 'هجوم', 'استهدف')","('محطة تلفزيونية', 'محطة للإذاعة والتلفزيون')",,
60,20140808_6212.txt,"('طالبان',)","('مصرع', 'اشتباكات', 'مصرع')","('الشرطة', 'الشرطة')",,
61,20110819_4115.txt,,"('قتل', 'هجوم', 'إستهدف', 'قتل')","('جندي بولندي', 'جندي بولندي')",,
62,20180430_5394.txt,,"('الهجومين الإرهابيين', 'الهجومين الإرهابيين', 'ضحيتهما')",,"('كابل', 'العاصمة الأفغانية', 'كابل')",
63,20170523_6212.txt,,"('قتل', 'هجوم', 'قتل')","('جنود', 'قاعدة للجيش', 'جنود')",,
64,20181013_557.txt,,"('تفجير', 'استهدف', 'تفجير', 'استهدف')","('تجمعا انتخابيا', 'تجمعا انتخابيا')",,
65,20150910_8418.txt,"('الجيش الوطني الأفغاني', 'الجيش الوطني الأفغاني')","('قتل', 'قتل')","('مسلحا', 'مسلحا')",,
66,20180106_327.txt,,"('قتل', 'قصف جوي', 'قتل', 'أصيب')","('مدنيين', 'مدنيين')",,
67,20150627_5941.txt,"('طالبان', 'طالبان')","('هجوم', 'هجوم', 'استهدف')","('البرلمان',)",,
68,20150729_7001.txt,,"('وفاة', 'وفاة')","('ا', 'الملا محمد عمر', 'ا', 'طالبان')",,
69,20151003_9349.txt,,"('مصرع', 'إصابة', 'قصف جوي', 'استهدف', 'مصرع')","('مستشفى',)",,
70,20150923_8827.txt,,"('قتل', 'هجوم')","('ناتو', 'قاعدة (باغرام)', 'حلف شمال الاطلسي', 'ناتو')",,
71,20170426_5046.txt,"('القوات الأفغانية', 'طالبان')","('تتوعد', 'هجوم')","('طالبان', 'قاعدة للجيش')",,
72,20140219_1316.txt,"('الجيش الباكستاني', 'الجيش الباكستاني')","('قصف', 'قصف')",,,"('كونار',)"
73,20150630_5964.txt,,"('قتل', 'إصابة', 'انفجار انتحاري', 'قتل', 'إصابة')",,"('العاصمة الأفغانية',)",
74,20151002_9235.txt,,"('قتل', 'تحطم', 'قتل')","('امريكيين', 'طائرة نقل عسكرية', 'امريكيين')",,
75,20151012_9826.txt,,"('قتل', 'تحطم')","('الناتو', 'مروحية', 'الناتو')","('كابول',)",
76,20170228_2618.txt,"('طالبان',)","('قتل', 'هجوم', 'قتل')","('الشرطة', 'الشرطة')",,
77,20140112_440.txt,"('طالبان',)","('تفجير انتحاري', 'استهدف')","('شرطة',)","('كابول',)","('ل',)"
78,20180120_960.txt,,"('هجوم', 'يستهدف', 'مهاجمين')","('فندق',)","('كابول', 'كابول')",
79,20150429_4103.txt,,"('قتل', 'إصابة', 'انفجار', 'مصرعهم', 'أصيب')",,,"('خوست',)"
80,20170413_4293.txt,"('أمريكا', 'الولايات المتحدة')","('تستخدم', 'قصفت')","('أم القنابل', 'داعش')",,
81,20150808_7423.txt,,"('قتل', 'هجوم')","('حلف الأطلسي', 'المتمردين')","('كابول', 'كابول')",
82,20180423_5050.txt,"('جماعة داعش',)","('الهجوم الإرهابي', 'الهجوم الإرهابي', 'شن')",,"('كابول', 'كابول')",
83,20180111_576.txt,"('طالبان', 'داعش', 'داعش', 'طالبان')","('تصالح',)","('الحكومة الأفغانية',)",,
84,20181030_1373.txt,"('داعش',)","('إصابة', 'هجوم انتحاري')","('مسؤولين', 'لجنة الانتخابات')","('كابل',)",
85,20170403_3895.txt,,"('قتل', 'عمليات أمنية', 'قتل', 'العمليات الأمنية')","('داعش', 'داعش')",,
86,20151003_9379.txt,"('طالبان', 'طالبان')","('إسقاط', 'إسقاط')","('طائرة أميركية', 'طائرة نقل عسكرية أميركية')",,
87,20141211_11061.txt,,"('قتل', 'تفجير', 'الهجوم الانتحاري')","('مدرسة فرنسية', 'مدرسة ثانوية')","('كابول',)",
88,20170111_87.txt,,"('استهدفت', 'قتلي', 'جرحي', 'تفجيرات انتحارية')","('فندقا', 'لمخابرات الأفغاني')",,
89,20181018_746.txt,,"('هجوم', 'مقتل', 'إصابة')","('قيادي أفغاني', 'أمريكيين')",,"('قندهار',)"
90,20150315_2554.txt,"('القاعدة', 'الحكومة الافغانية', 'القاعدة')","('خطف', 'دفع فدية')","('القاعدة',)",,
91,20140325_2226.txt,,"('هجوم', 'هجوم')","('فندق', 'فندق')","('كابول', 'كابول')",
92,20170430_5193.txt,"('القوات الأمنية',)","('قتل', 'قتل', 'العملية العسكرية')","('مسلحا', 'مسلحا')",,
93,20170316_3366.txt,,"('قتل', 'إصابة', 'قتل', 'إصابة')","('طالبان', 'طالبان')",,
94,20180121_940.txt,,"('قتلى', 'هجوم مسلح', 'قتل')","('فندق', 'أشخاص')","('كابول',)",
95,20181031_1371.txt,,"('مقتل', 'تحطم', 'مقتل')","('العسكريين الافغان', 'مروحية', 'عسكريين')",,
96,20150806_7256.txt,"('طالبان', 'طالبان')","('وفاة', 'وفاة')","('الملا عمر', 'الملا محمد عمر')",,
97,20180416_4826.txt,"('طالبان', 'طالبان', 'طالبان', 'طالبان')",,,"('كابل', 'كابل')",
98,20181008_349.txt,"('الجيش الأميركي', 'الجيش الأميركي')","('استخدم', 'استخدم', 'الغزو')","('الفياغرا',)",,
